,,,,,
Question,Country #1,Country #2,Country #3,Country #4,Country #5
Top 5 Largest Countries by Population,india,china,United States,Indonesia,Pakistan
Top 5 Most Visited Countries,France,Spain,United States,China,Italy
Top 5 Richest Countries,Luxembourg,Singapore,Qatar,Ireland,Switzerland
Top 5 Happiest Countries,Finland,Denmark,Switzerland,Iceland,Netherlands
Top 5 Most Populous Countries,China,India,United States,Indonesia,Pakistan
Top 5 Safest Countries,Iceland,New Zealand,Denmark,Finland,Austria
Top 5 Most Beautiful Countries,New Zealand,Greece,Italy,Scotland,Switzerland
Top 5 Most Culturally Diverse Countries,India,Canada,Australia,United States,South Africa
Top 5 Largest Economies,United States,China,Japan,Germany,United Kingdom
 Top 5 Most Technologically Advanced Countries,United States,Japan,South Korea,Germany,Finland
